=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 11:17:30 =~=~=~=~=~=~=~=~=~=~=~=
***********************************************
*
* Alien Technology : RFID Reader 
*
***********************************************

Username> alien
 Password>password
 
Alien>t
tag:100010001000100010001000 00:01:31
tag:100010001000100010001001 00:07:42
tag:100010001000100010001002 00:01:33
tag:100010001000100010001003 00:07:11
tag:100010001000100010001004 00:05:58
tag:100010001000100010001005 00:06:13
tag:100010001000100010001006 00:07:27
tag:100010001000100010001007 00:03:34
tag:100010001000100010001008 00:09:41
tag:100010001000100010001009 00:12:12
tag:100010001000100010001010 00:13:00
tag:100010001000100010001800 00:14:51
tag:100010001000100010001801 00:15:33
tag:100010001000100010001802 00:16:08
tag:100010001000100010001014 00:17:17
tag:100010001000100010001015 00:12:25
tag:100010001000100010001016 00:19:46
tag:100010001000100010001017 00:20:45
tag:100010001000100010001012 00:21:32
tag:100010001000100010001019 00:21:33
